STATIONS_ID,Date,Sunshine duration daily total,Daily amount of precipitation,Daily mean temperature,Daily mean of the relative humidity,Daily mean wind speed
1078,01/01/1970 00:00,0,0.3,-8.9,85,3.2
1078,02/01/1970 00:00,0,2.1,-0.6,89,5.9
1078,03/01/1970 00:00,0,5.6,0.7,94,4.7
1078,04/01/1970 00:00,0,0,-3.4,95,1.7
1078,05/01/1970 00:00,0,0.5,-2.2,85,3.3
1078,06/01/1970 00:00,3.8,2.1,0.1,81,5.6
1078,07/01/1970 00:00,1,0,-1.4,89,3.3
1078,08/01/1970 00:00,0.2,7.6,-1.5,68,5.4
1078,09/01/1970 00:00,1.2,0.8,1.7,80,9.3
1078,10/01/1970 00:00,0,0.6,3.3,84,7.5
1078,11/01/1970 00:00,0,1.6,6.4,72,5.8
1078,12/01/1970 00:00,2.8,0,5.5,77,4.9
1078,13/01/1970 00:00,2.2,0,6,77,5.2
1078,14/01/1970 00:00,4.2,0,4.8,75,5.4
1078,15/01/1970 00:00,0.5,0,5.4,83,4.9
1078,16/01/1970 00:00,0,1.1,4.9,94,2.5
1078,17/01/1970 00:00,0,0.1,2.3,97,1.3
1078,18/01/1970 00:00,3.4,0,3.4,81,3.9
1078,19/01/1970 00:00,0,0,0.7,87,2.7
1078,20/01/1970 00:00,4.2,0,-1,74,3.9
1078,21/01/1970 00:00,6.9,0,-2.6,74,5.2
1078,22/01/1970 00:00,0,0.1,-1.4,80,6.3
1078,23/01/1970 00:00,0,4.5,2,83,6.7
1078,24/01/1970 00:00,0,8.6,4.8,94,5
1078,25/01/1970 00:00,0.1,5.1,7.1,87,5.9
1078,26/01/1970 00:00,0,18.9,7.4,95,3.2
1078,27/01/1970 00:00,0,2.7,4.9,93,2.9
1078,28/01/1970 00:00,0.6,0,2.4,89,1.6
1078,29/01/1970 00:00,4.9,0,1.3,75,3.6
1078,30/01/1970 00:00,0,5.7,0.4,84,3.6
1078,31/01/1970 00:00,4,0,-5.7,75,3.3
1078,01/02/1970 00:00,7.2,0,-5.8,70,6
1078,02/02/1970 00:00,0.4,16,1.8,91,7.1
1078,03/02/1970 00:00,3.7,0,5,76,8.4
1078,04/02/1970 00:00,1.7,0.7,3.9,88,5
1078,05/02/1970 00:00,0,17.3,2.8,88,3.3
1078,06/02/1970 00:00,2.2,0,-0.4,82,4
1078,07/02/1970 00:00,0.2,3.7,2.7,80,6.5
1078,08/02/1970 00:00,3.9,7.9,5,80,6.7
1078,09/02/1970 00:00,3.5,4.1,4.8,79,6.2
1078,10/02/1970 00:00,0.2,3.6,1.5,91,5
1078,11/02/1970 00:00,2.3,0.8,1.4,86,3.5
1078,12/02/1970 00:00,0,12.3,0.7,88,5.6
1078,13/02/1970 00:00,0.1,0.7,-3.4,90,4.8
1078,14/02/1970 00:00,3.1,0,-2.8,75,2.9
1078,15/02/1970 00:00,6.7,3,-5.4,79,2.7
1078,16/02/1970 00:00,0,2.5,-1.7,94,5.4
1078,17/02/1970 00:00,0,5.1,-1.4,91,4.8
1078,18/02/1970 00:00,0,0.8,-3.7,87,5.9
1078,19/02/1970 00:00,0,9.5,0.7,91,5.6
1078,20/02/1970 00:00,1.5,2.3,4.5,74,7.7
1078,21/02/1970 00:00,0,21.3,5.7,91,4.7
1078,22/02/1970 00:00,0,5.6,9.4,91,7
1078,23/02/1970 00:00,2.9,2.8,4.8,81,6.7
1078,24/02/1970 00:00,0.9,1.8,4,88,3
1078,25/02/1970 00:00,3.8,3,3,85,3.3
1078,26/02/1970 00:00,1.2,0.2,1.8,84,2.4
1078,27/02/1970 00:00,0.8,0.2,-0.5,77,4.5
1078,28/02/1970 00:00,3.5,0.1,-1.6,70,3.8
1078,01/03/1970 00:00,0,9.1,0,87,4.6
1078,02/03/1970 00:00,4,1,1.5,82,5.6
1078,03/03/1970 00:00,2.6,0.9,1.2,86,3.1
1078,04/03/1970 00:00,2.3,0.1,0.5,83,3.7
1078,05/03/1970 00:00,1.2,0,0.3,77,4.9
1078,06/03/1970 00:00,2.4,4.9,0.8,86,5.9
1078,07/03/1970 00:00,1.6,3.8,0.6,78,4
1078,08/03/1970 00:00,0,3.2,-0.8,95,4.2
1078,09/03/1970 00:00,8.8,2.1,-0.1,71,3.1
1078,10/03/1970 00:00,0,0,0.1,89,1.5
1078,11/03/1970 00:00,9.4,0,0.8,73,2.6
1078,12/03/1970 00:00,4,0,4.1,66,5.2
1078,13/03/1970 00:00,7.1,0,3.5,66,2.5
1078,14/03/1970 00:00,4.9,0,2,75,5.4
1078,15/03/1970 00:00,3.1,1.8,2,82,3.4
1078,16/03/1970 00:00,0,0.3,4.3,93,3
1078,17/03/1970 00:00,0,1.4,6.9,88,6.2
1078,18/03/1970 00:00,4.6,6.8,4.8,88,6.8
1078,19/03/1970 00:00,2.5,3,3.8,84,6.2
1078,20/03/1970 00:00,0,1.3,7.2,90,5.3
1078,21/03/1970 00:00,1.2,0.1,9.4,83,4.2
1078,22/03/1970 00:00,5.7,1,6.6,76,4.3
1078,23/03/1970 00:00,6,0,10.2,70,2.7
1078,24/03/1970 00:00,3.7,27.8,8.1,86,2.4
1078,25/03/1970 00:00,0.6,0.4,1.8,89,2.8
1078,26/03/1970 00:00,5.3,0.4,3.3,78,3.2
1078,27/03/1970 00:00,5.2,0.9,1.9,70,6.2
1078,28/03/1970 00:00,5.6,1.8,1.3,89,6.8
1078,29/03/1970 00:00,2.8,0.7,3.4,81,5.5
1078,30/03/1970 00:00,0.6,0.4,8,70,8.5
1078,31/03/1970 00:00,1.4,9.1,5.9,80,5.6
1078,01/04/1970 00:00,0.8,2.2,3.2,88,6.3
1078,02/04/1970 00:00,4.9,2.7,2.1,81,4.5
1078,03/04/1970 00:00,2.2,0,1.2,87,5
1078,04/04/1970 00:00,2.9,9.6,2.4,87,2.9
1078,05/04/1970 00:00,1.4,1.3,1.1,92,4.1
1078,06/04/1970 00:00,0,6.6,4.4,82,6.1
1078,07/04/1970 00:00,6,3.4,2.3,82,4.1
1078,08/04/1970 00:00,4.8,0,2.4,81,2.2
1078,09/04/1970 00:00,5.7,1,3.3,78,1.9
1078,10/04/1970 00:00,4.2,0.4,3.9,76,3.6
1078,11/04/1970 00:00,3.4,1.4,5.3,82,3.4
1078,12/04/1970 00:00,5.1,1.7,8.6,71,4.5
1078,13/04/1970 00:00,6,2.6,7,77,4
1078,14/04/1970 00:00,0,0.3,5.4,87,2.9
1078,15/04/1970 00:00,1.9,6.9,8.9,75,4
1078,16/04/1970 00:00,0,0.5,13.5,77,3.9
1078,17/04/1970 00:00,3.2,0.1,14.2,77,3.2
1078,18/04/1970 00:00,4.4,0,12.2,70,4.8
1078,19/04/1970 00:00,3.2,0,9.6,75,3.3
1078,20/04/1970 00:00,5.8,2,6,79,3.9
1078,21/04/1970 00:00,0,4.1,9.1,86,7.8
1078,22/04/1970 00:00,1,0.3,12.2,75,7.5
1078,23/04/1970 00:00,0.1,1.4,12.4,77,7.7
1078,24/04/1970 00:00,0,2.5,9.6,89,3.1
1078,25/04/1970 00:00,1.4,6.9,9.6,81,5.7
1078,26/04/1970 00:00,2.2,3.8,7.5,80,4.4
1078,27/04/1970 00:00,0.7,4.3,6.1,83,3.9
1078,28/04/1970 00:00,4.8,2.8,6.1,67,3.5
1078,29/04/1970 00:00,3.9,9.5,4.6,81,7.9
1078,30/04/1970 00:00,4.9,0.8,5.6,74,6.3
1078,01/05/1970 00:00,3.9,0,6.7,68,2.9
1078,02/05/1970 00:00,0,9.1,7.8,87,3.1
1078,03/05/1970 00:00,0,0.1,12.1,90,2.1
1078,04/05/1970 00:00,8.9,0,14,71,2.4
1078,05/05/1970 00:00,11.3,0,15.5,53,3.6
1078,06/05/1970 00:00,10,0,16.8,54,3.1
1078,07/05/1970 00:00,11.2,0,16.7,53,4.3
1078,08/05/1970 00:00,8.7,5.8,17.5,62,3.1
1078,09/05/1970 00:00,7.8,0,16.4,68,2.5
1078,10/05/1970 00:00,1.3,0,17.2,68,2.2
1078,11/05/1970 00:00,7.2,0,17.8,58,4.1
1078,12/05/1970 00:00,5.2,0.5,15.6,67,4.1
1078,13/05/1970 00:00,0.9,4.5,12.6,87,3.1
1078,14/05/1970 00:00,8.1,0,13.9,70,1.4
1078,15/05/1970 00:00,0,0.8,14.2,76,2.4
1078,16/05/1970 00:00,6.8,2.3,13.6,77,2.1
