Date,Evapotranspiration
01/01/1951,0.36297673
02/01/1951,0.25032106
03/01/1951,0.226041719
04/01/1951,0.241077051
05/01/1951,0.412902206
06/01/1951,0.340750039
07/01/1951,0.344689071
08/01/1951,0.346776277
09/01/1951,0.346886098
10/01/1951,0.438382447
11/01/1951,0.448126942
12/01/1951,0.407510489
13/01/1951,0.370246619
14/01/1951,0.386800259
15/01/1951,0.342598379
16/01/1951,0.35629344
17/01/1951,0.497463942
18/01/1951,0.396049529
19/01/1951,0.34340319
20/01/1951,0.368409008
21/01/1951,0.305897832
22/01/1951,0.469720393
23/01/1951,0.362837583
24/01/1951,0.483202308
25/01/1951,0.317600489
26/01/1951,0.300801754
27/01/1951,0.455144286
28/01/1951,0.341514081
29/01/1951,0.242372975
30/01/1951,0.314478427
31/01/1951,0.303543717
01/02/1951,0.34775281
02/02/1951,0.446343005
03/02/1951,0.440654159
04/02/1951,0.686383665
05/02/1951,0.528056443
06/02/1951,0.560155511
07/02/1951,0.648810565
08/02/1951,0.789923847
09/02/1951,0.747986019
10/02/1951,0.574704587
11/02/1951,0.618968904
12/02/1951,0.83973676
13/02/1951,0.692520618
14/02/1951,0.549930155
15/02/1951,0.55252409
16/02/1951,0.881045103
17/02/1951,0.784424245
18/02/1951,0.744460404
19/02/1951,0.643429339
20/02/1951,0.862475276
21/02/1951,0.766320586
22/02/1951,0.836999476
23/02/1951,0.829017937
24/02/1951,0.947354078
25/02/1951,1.003258944
26/02/1951,0.75820291
27/02/1951,0.744338632
28/02/1951,0.628318191
01/03/1951,0.760933936
02/03/1951,0.623964608
03/03/1951,0.703135431
04/03/1951,1.064082265
05/03/1951,1.06521678
06/03/1951,1.241955042
07/03/1951,1.449811935
08/03/1951,0.766971648
09/03/1951,0.59258002
10/03/1951,0.927653968
11/03/1951,1.150081992
12/03/1951,1.302062392
13/03/1951,1.90544498
14/03/1951,1.135388136
15/03/1951,1.16531074
16/03/1951,2.117800474
17/03/1951,1.724503875
18/03/1951,1.427050591
19/03/1951,1.229406238
20/03/1951,1.161131859
21/03/1951,1.412173033
22/03/1951,1.429339767
23/03/1951,1.227164149
24/03/1951,1.408799767
25/03/1951,1.205308795
26/03/1951,1.230368257
27/03/1951,1.387363911
28/03/1951,1.19056356
29/03/1951,1.349963546
30/03/1951,1.804170012
31/03/1951,1.159829855
01/04/1951,1.950367451
02/04/1951,1.730669022
03/04/1951,1.711433291
04/04/1951,2.299100161
05/04/1951,1.986618638
06/04/1951,2.608047247
07/04/1951,1.921421885
08/04/1951,1.659505725
09/04/1951,1.56713438
10/04/1951,1.220875263
11/04/1951,1.560041428
12/04/1951,2.68163681
13/04/1951,2.091114044
14/04/1951,1.666243553
15/04/1951,2.248226643
16/04/1951,3.16299367
17/04/1951,1.914429188
18/04/1951,3.790999889
19/04/1951,2.609388828
20/04/1951,1.998480082
21/04/1951,2.182477951
22/04/1951,3.231786013
23/04/1951,3.792045593
24/04/1951,4.317079067
25/04/1951,5.069460392
26/04/1951,4.429067135
27/04/1951,2.149268866
28/04/1951,1.487566829
29/04/1951,2.085000038
30/04/1951,2.938129425
01/05/1951,3.947541237
02/05/1951,4.198275089
03/05/1951,4.209468842
04/05/1951,4.183936596
05/05/1951,3.032793999
06/05/1951,4.332293987
07/05/1951,3.607648134
08/05/1951,2.083891153
09/05/1951,2.0519104
10/05/1951,2.653181314
11/05/1951,3.31438303
12/05/1951,3.957420349
13/05/1951,3.878482342
14/05/1951,2.226933718
15/05/1951,2.357147217
16/05/1951,2.366728783
17/05/1951,3.78543973
18/05/1951,4.03985548
19/05/1951,5.167526245
20/05/1951,5.198925018
21/05/1951,2.917515516
22/05/1951,3.91485548
23/05/1951,4.380104542
24/05/1951,5.199932098
25/05/1951,3.479214191
26/05/1951,4.802681446
27/05/1951,2.796644449
28/05/1951,3.075987816
29/05/1951,2.791834593
30/05/1951,3.819670439
31/05/1951,4.561491489
01/06/1951,5.07051754
02/06/1951,4.247993469
03/06/1951,4.240203381
04/06/1951,4.262354374
05/06/1951,4.726961613
06/06/1951,4.580662251
07/06/1951,4.284351826
08/06/1951,5.098642826
09/06/1951,5.225030899
10/06/1951,3.201081038
11/06/1951,4.916514397
12/06/1951,4.402542114
13/06/1951,3.672686815
14/06/1951,5.696482658
15/06/1951,4.80517292
16/06/1951,5.085940361
17/06/1951,4.705203056
18/06/1951,3.686304808
19/06/1951,4.284989357
20/06/1951,5.089877605
21/06/1951,5.998029232
22/06/1951,4.805810928
23/06/1951,3.633964777
24/06/1951,3.245158195
